family,group,target_budget,opponent,direction,from_level,to_level,from_experiment_id,to_experiment_id,samples_per_point,from_A_win_rate,to_A_win_rate,delta_A_win_rate,from_mean_rounds,to_mean_rounds,delta_mean_rounds,from_budget_A,to_budget_A,delta_budget_A,from_budget_B,to_budget_B,delta_budget_B,from_A_raw_dead,to_A_raw_dead,delta_A_raw_dead,from_A_raw_wounded,to_A_raw_wounded,delta_A_raw_wounded,from_B_raw_dead,to_B_raw_dead,delta_B_raw_dead,from_B_raw_wounded,to_B_raw_wounded,delta_B_raw_wounded,from_A_bench_economic_loss_rate,to_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate
E-add,archer,12000,spearman,A-B,5,10,9dfd290a44102763cac17162,d8707fe523c19eaa9f5cc7b4,2000,0.1195,0.9855,0.866,4.266,4.987,0.721,12570,13170,600,11970,11970,0,101.0765,128.1165,27.04,115.1805,138.042,22.8615,25.5485,105.233,79.6845,145.447,65.7665,-79.6805,0.046929196499602,0.045864844343204,-0.001064352156398
E-add,archer,12000,spearman,A-B,10,20,d8707fe523c19eaa9f5cc7b4,789acad8f1d8e37ec319b4c5,2000,0.9855,1,0.0145,4.987,5,0.013,13170,14370,1200,11970,11970,0,128.1165,112.2495,-15.867,138.042,207.0935,69.0515,105.233,146.284,41.051,65.7665,24.716,-41.0505,0.045864844343204,0.038852122477383,-0.007012721865821
E-add,archer,12000,spearman,A-B,20,35,789acad8f1d8e37ec319b4c5,786df401f7fbea3841c9c130,2000,1,1,0,5,4.9245,-0.0755,14370,16170,1800,11970,11970,0,112.2495,91.2835,-20.966,207.0935,266.6085,59.515,146.284,160.7795,14.4955,24.716,10.2205,-14.4955,0.038852122477383,0.030170377241806,-0.008681745235577
E-add,archer,12000,spearman,A-B,35,50,786df401f7fbea3841c9c130,fc1cf691d9a15887601fbca3,2000,1,1,0,4.9245,4.629,-0.2955,16170,17970,1800,11970,11970,0,91.2835,70.484,-20.7995,266.6085,296.682,30.0735,160.7795,133.292,-27.4875,10.2205,37.7075,27.487,0.030170377241806,0.023670562047858,-0.006499815193948
E-add,archer,12000,spearman,A-B,50,100,fc1cf691d9a15887601fbca3,c6ad75fef5ff41d201b2633d,2000,1,1,0,4.629,4.002,-0.627,17970,23970,6000,11970,11970,0,70.484,37.0545,-33.4295,296.682,330.898,34.216,133.292,102.906,-30.386,37.7075,68.0915,30.384,0.023670562047858,0.013366082603254,-0.010304479444604
E-add,archer,12000,spearman,B-A,0,5,90452a8e0fc26bc011ac9c96,9dfd290a44102763cac17162,2000,0.8985,1,0.1015,6.972,6.893,-0.079000000000001,11970,12570,600,11970,11970,0,77.6065,66.66,-10.9465,93.048,160.7805,67.7325,111.0755,145.3885,34.313,59.9245,25.6115,-34.313,0.049865497076023,0.049147573587908,-0.000717923488115
E-add,archer,12000,spearman,B-A,5,10,9dfd290a44102763cac17162,d8707fe523c19eaa9f5cc7b4,2000,1,1,0,6.893,6.644,-0.249,12570,13170,600,11970,11970,0,66.66,60.958,-5.702,160.7805,214.5235,53.743,145.3885,132.897,-12.4915,25.6115,38.103,12.4915,0.049147573587908,0.047276006074412,-0.001871567513496
E-add,archer,12000,spearman,B-A,10,20,d8707fe523c19eaa9f5cc7b4,789acad8f1d8e37ec319b4c5,2000,1,1,0,6.644,6.0805,-0.5635,13170,14370,1200,11970,11970,0,60.958,43.2435,-17.7145,214.5235,296.86,82.3365,132.897,90.3355,-42.5615,38.103,80.6645,42.5615,0.047276006074412,0.04126965901183,-0.006006347062582
E-add,archer,12000,spearman,B-A,20,35,789acad8f1d8e37ec319b4c5,786df401f7fbea3841c9c130,2000,1,1,0,6.0805,6,-0.0805,14370,16170,1800,11970,11970,0,43.2435,28.4055,-14.838,296.86,371.908,75.048,90.3355,116.6955,26.36,80.6645,54.3045,-26.36,0.04126965901183,0.033925170068027,-0.007344488943803
E-add,archer,12000,spearman,B-A,35,50,786df401f7fbea3841c9c130,fc1cf691d9a15887601fbca3,2000,1,1,0,6,5.992,-0.008,16170,17970,1800,11970,11970,0,28.4055,19.295,-9.1105,371.908,416.1355,44.2275,116.6955,150.689,33.9935,54.3045,20.311,-33.9935,0.033925170068027,0.028198942682248,-0.005726227385779
E-add,archer,12000,spearman,B-A,50,100,fc1cf691d9a15887601fbca3,c6ad75fef5ff41d201b2633d,2000,1,1,0,5.992,5.02,-0.972,17970,23970,6000,11970,11970,0,19.295,4.546,-14.749,416.1355,437.7665,21.631,150.689,93.587,-57.102,20.311,77.412,57.101,0.028198942682248,0.01608093450146,-0.012118008180788
E-add,archer,120000,archer,A-B,0,5,00dd071ec3d5e4240f071c34,0dabb2fa7f1509548b46ae83,2000,1,1,0,2,2,0,119980,125980,6000,119980,119980,0,0,302.84,302.84,1714,2011.16,297.16,963.358,1007.077,43.719,750.642,706.923,-43.719,0.050003208868145,0.050007223368789,4.0145006440021E-6
E-add,archer,120000,archer,A-B,5,10,0dabb2fa7f1509548b46ae83,cbb3b5dcafd321d6d3ba4442,2000,1,1,0,2,2,0,125980,131980,6000,119980,119980,0,302.84,71.652,-231.188,2011.16,2842.104,830.944,1007.077,1048.3525,41.2755,706.923,665.6475,-41.2755,0.050007223368789,0.050015684194575,8.4608257859969E-6
